city,date,temp,humidity,description
Delhi,2025-04-22 20:30:00,36.67,3,clear sky
Delhi,2025-04-22 23:30:00,35.68,3,clear sky
Delhi,2025-04-23 02:30:00,33.31,4,clear sky
Delhi,2025-04-23 05:30:00,29.76,6,clear sky
Delhi,2025-04-23 08:30:00,32.12,5,clear sky
Delhi,2025-04-23 11:30:00,38.5,3,clear sky
Delhi,2025-04-23 14:30:00,40.88,2,clear sky
Delhi,2025-04-23 17:30:00,40.41,2,clear sky
Delhi,2025-04-23 20:30:00,37.61,3,clear sky
Delhi,2025-04-23 23:30:00,34.69,3,clear sky
Delhi,2025-04-24 02:30:00,32.24,4,clear sky
Delhi,2025-04-24 05:30:00,30.02,4,clear sky
Delhi,2025-04-24 08:30:00,32.62,4,clear sky
Delhi,2025-04-24 11:30:00,38.97,3,clear sky
Delhi,2025-04-24 14:30:00,41.96,4,clear sky
Delhi,2025-04-24 17:30:00,41.59,4,clear sky
Delhi,2025-04-24 20:30:00,38.73,4,clear sky
Delhi,2025-04-24 23:30:00,35.87,5,clear sky
Delhi,2025-04-25 02:30:00,33.57,6,clear sky
Delhi,2025-04-25 05:30:00,31.98,7,clear sky
Delhi,2025-04-25 08:30:00,34.26,7,clear sky
Delhi,2025-04-25 11:30:00,40.12,6,clear sky
Delhi,2025-04-25 14:30:00,42.65,4,clear sky
Delhi,2025-04-25 17:30:00,42.15,4,clear sky
Delhi,2025-04-25 20:30:00,39.03,4,scattered clouds
Delhi,2025-04-25 23:30:00,36.76,7,broken clouds
Delhi,2025-04-26 02:30:00,34.65,9,overcast clouds
Delhi,2025-04-26 05:30:00,32.53,8,broken clouds
Delhi,2025-04-26 08:30:00,34.04,12,clear sky
Delhi,2025-04-26 11:30:00,39.57,8,few clouds
Delhi,2025-04-26 14:30:00,42.76,4,few clouds
Delhi,2025-04-26 17:30:00,42.71,4,few clouds
Delhi,2025-04-26 20:30:00,38.32,6,scattered clouds
Delhi,2025-04-26 23:30:00,36.56,9,broken clouds
Delhi,2025-04-27 02:30:00,35.18,10,overcast clouds
Delhi,2025-04-27 05:30:00,33.69,10,broken clouds
Delhi,2025-04-27 08:30:00,35.85,10,clear sky
Delhi,2025-04-27 11:30:00,40.84,7,clear sky
Delhi,2025-04-27 14:30:00,43.05,5,clear sky
Delhi,2025-04-27 17:30:00,42.85,4,clear sky
Patna,2025-04-22 20:30:00,35.83,11,clear sky
Patna,2025-04-22 23:30:00,34.82,12,clear sky
Patna,2025-04-23 02:30:00,31.82,9,clear sky
Patna,2025-04-23 05:30:00,27.7,7,clear sky
Patna,2025-04-23 08:30:00,36.69,4,clear sky
Patna,2025-04-23 11:30:00,43.31,3,clear sky
Patna,2025-04-23 14:30:00,44.77,2,clear sky
Patna,2025-04-23 17:30:00,42.25,2,clear sky
Patna,2025-04-23 20:30:00,34.5,4,clear sky
Patna,2025-04-23 23:30:00,31.28,4,clear sky
Patna,2025-04-24 02:30:00,29.48,5,clear sky
Patna,2025-04-24 05:30:00,27.52,6,clear sky
Patna,2025-04-24 08:30:00,35.95,3,clear sky
Patna,2025-04-24 11:30:00,42.94,2,clear sky
Patna,2025-04-24 14:30:00,44.85,2,clear sky
Patna,2025-04-24 17:30:00,42.47,2,clear sky
Patna,2025-04-24 20:30:00,34.94,3,clear sky
Patna,2025-04-24 23:30:00,32.51,4,clear sky
Patna,2025-04-25 02:30:00,27.72,13,clear sky
Patna,2025-04-25 05:30:00,26.27,27,clear sky
Patna,2025-04-25 08:30:00,34.57,26,clear sky
